sample_name	library_ID	BioProject accession	title	tissue	geographic location	sex	isolate	Lat	Lon	Anem_ID	Collection_Date	Size	Size_type	Tail_color	dev_stage	Collector	Notes	library_strategy	LibraryName	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
APCL13_400_L0649	L0649	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869159	124.716338	232	2013-05-30	9	FL	O	adult	MLP	#400 had an all orange tail with a clear trailing edge	RAD-Seq	L0649	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0649.F.fq.gz	APCL_L0649.R1.fq.gz
APCL13_402_L0650	L0650	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869159	124.716338	232	2013-05-30	9.2	FL	YP	adult	MLP		RAD-Seq	L0650	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0650.F.fq.gz	APCL_L0650.R1.fq.gz
APCL14_503_L0746	L0746	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.798713	124.768576	701	2014-06-29	4.8	FL	YR	NA	MRS		RAD-Seq	L0746	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0746.F.fq.gz	APCL_L0746.R1.fq.gz
APCL14_501_L0766	L0766	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809252	124.765348	699	2014-06-28	5.6	FL	Y	NA	MRS		RAD-Seq	L0766	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0766.F.fq.gz	APCL_L0766.R1.fq.gz
APCL14_522_L0767	L0767	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769081	124.783681	712	2014-06-29	3.8	FL	YR	NA	MRS		RAD-Seq	L0767	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0767.F.fq.gz	APCL_L0767.R1.fq.gz
APCL14_519_L0811	L0811	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.768829	124.783754	711	2014-06-29	3.8	FL	YR	NA	MRS		RAD-Seq	L0811	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0811.F.fq.gz	APCL_L0811.R1.fq.gz
APCL14_379_L0824	L0824	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869908	124.715812	599	2014-06-23	9	FL	Y	adult	MRS	2015-09-01: failed extraction	RAD-Seq	L0824	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0824.F.fq.gz	APCL_L0824.R1.fq.gz
APCL14_466_L0828	L0828	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855564	124.726863	NA	2014-06-26	5.6	FL	YR	NA	MRS	AnemID was marked as "?". It was a very busy dive and Michelle missed what number it was. Col1 was marked as "R" originally.	RAD-Seq	L0828	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0828.F.fq.gz	APCL_L0828.R1.fq.gz
APCL14_477_L0829	L0829	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855655	124.72616	691	2014-06-26	4.6	FL	YR	NA	MRS	AND ALSO A SNAKE, I THINK (actually a goatfish)	RAD-Seq	L0829	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0829.F.fq.gz	APCL_L0829.R1.fq.gz
APCL14_489_L0830	L0830	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.857641	124.725062	674	2014-06-26	4.3	FL	WR	NA	MRS		RAD-Seq	L0830	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0830.F.fq.gz	APCL_L0830.R1.fq.gz
APCL13_043_L0831	L0831	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756597	124.78595	25	2013-05-23	7.6	FL	YP	adult	MLP		RAD-Seq	L0831	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0831.F.fq.gz	APCL_L0831.R1.fq.gz
APCL13_141_L0832	L0832	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.652591	124.783262	77	2013-05-26	3.3	FL	Y	NA	MLP		RAD-Seq	L0832	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0832.F.fq.gz	APCL_L0832.R1.fq.gz
APCL13_195_L0833	L0833	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873778	124.711248	106	2013-05-27	5.7	FL	YR	NA	MLP		RAD-Seq	L0833	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0833.F.fq.gz	APCL_L0833.R1.fq.gz
APCL13_235_L0834	L0834	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.874435	124.710719	129	2013-05-27	2.1	FL	YR	NA	MLP		RAD-Seq	L0834	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0834.F.fq.gz	APCL_L0834.R1.fq.gz
APCL13_328_L0835	L0835	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855057	124.727391	192	2013-05-29	6.1	FL	YP	adult	MLP		RAD-Seq	L0835	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0835.F.fq.gz	APCL_L0835.R1.fq.gz
APCL13_347_L0836	L0836	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.857512	124.724867	204	2013-05-29	6.8	FL	O	adult	MLP		RAD-Seq	L0836	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0836.F.fq.gz	APCL_L0836.R1.fq.gz
APCL13_352_L0837	L0837	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.858381	124.7244	206	2013-05-29	6.7	FL	YP	adult	MLP		RAD-Seq	L0837	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0837.F.fq.gz	APCL_L0837.R1.fq.gz
APCL13_353_L0838	L0838	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.858381	124.7244	206	2013-05-29	3.6	FL	YR	NA	MLP		RAD-Seq	L0838	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0838.F.fq.gz	APCL_L0838.R1.fq.gz
APCL13_357_L0839	L0839	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.85842	124.724361	208	2013-05-29	3	FL	YR	NA	MLP		RAD-Seq	L0839	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0839.F.fq.gz	APCL_L0839.R1.fq.gz
APCL13_383_L0840	L0840	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.85673	124.725313	221	2013-05-29	6.1	FL	W	NA	MLP		RAD-Seq	L0840	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0840.F.fq.gz	APCL_L0840.R1.fq.gz
APCL13_393_L0841	L0841	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.86913	124.716418	226	2013-05-30	4.1	FL	YR	NA	MLP		RAD-Seq	L0841	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0841.F.fq.gz	APCL_L0841.R1.fq.gz
APCL13_411_L0842	L0842	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869481	124.716266	240	2013-05-30	7.9	FL	YR	adult	MLP		RAD-Seq	L0842	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0842.F.fq.gz	APCL_L0842.R1.fq.gz
APCL13_142_L0848	L0848	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.652782	124.783648	79	2013-05-26	4.2	FL	W	NA	MLP		RAD-Seq	L0848	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0848.F.fq.gz	APCL_L0848.R1.fq.gz
APCL13_094_L0849	L0849	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.806378	124.766045	53	2013-05-25	4.1	FL	W	NA	MLP		RAD-Seq	L0849	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0849.F.fq.gz	APCL_L0849.R1.fq.gz
APCL13_442_L0850	L0850	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873895	124.710503	254	2013-05-31	2.7	FL	YR	NA	MLP		RAD-Seq	L0850	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0850.F.fq.gz	APCL_L0850.R1.fq.gz
APCL13_449_L0851	L0851	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873849	124.71059	256	2013-05-31	4.5	FL	YR	NA	MLP		RAD-Seq	L0851	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0851.F.fq.gz	APCL_L0851.R1.fq.gz
APCL13_450_L0856	L0856	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873751	124.710786	257	2013-05-31	7.7	FL	O	adult	MLP		RAD-Seq	L0856	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0856.F.fq.gz	APCL_L0856.R1.fq.gz
APCL13_454_L0877	L0877	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873714	124.710803	259	2013-05-31	2.5	FL	W	NA	MLP		RAD-Seq	L0877	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0877.F.fq.gz	APCL_L0877.R1.fq.gz
APCL13_048_L0881	L0881	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756284	124.785799	29	2013-05-23	4	FL	W	NA	MLP		RAD-Seq	L0881	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0881.F.fq.gz	APCL_L0881.R1.fq.gz
APCL14_507_L0938	L0938	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.798448	124.768651	702	2014-06-29	8.4	FL	Y	adult	MRS		RAD-Seq	L0938	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0938.F.fq.gz	APCL_L0938.R1.fq.gz
APCL14_527_L0939	L0939	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769186	124.783696	715	2014-06-29	4.2	FL	WR	NA	MRS		RAD-Seq	L0939	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0939.F.fq.gz	APCL_L0939.R1.fq.gz
APCL14_530_L0940	L0940	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769002	124.783737	716	2014-06-29	6.4	FL	Y	NA	MRS		RAD-Seq	L0940	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0940.F.fq.gz	APCL_L0940.R1.fq.gz
APCL14_534_L0941	L0941	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.755992	124.785637	720	2014-07-01	4.1	FL	WR	NA	MRS		RAD-Seq	L0941	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0941.F.fq.gz	APCL_L0941.R1.fq.gz
APCL14_442_L0966	L0966	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871634	124.714112	667	2014-06-24	5	FL	WR	NA	MRS		RAD-Seq	L0966	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0966.F.fq.gz	APCL_L0966.R1.fq.gz
APCL14_496_L0968	L0968	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809147	124.765319	697	2014-06-28	9.1	FL	O	adult	MRS		RAD-Seq	L0968	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0968.F.fq.gz	APCL_L0968.R1.fq.gz
APCL14_500_L0969	L0969	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809252	124.765348	699	2014-06-28	8.8	FL	Y	adult	MRS		RAD-Seq	L0969	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0969.F.fq.gz	APCL_L0969.R1.fq.gz
APCL14_526_L0970	L0970	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769317	124.783583	714	2014-06-29	8.5	FL	YP	adult	MRS		RAD-Seq	L0970	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0970.F.fq.gz	APCL_L0970.R1.fq.gz
APCL14_528_L0971	L0971	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.769154	124.783695	NA	2014-06-29	9	FL	O	adult	MRS		RAD-Seq	L0971	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0971.F.fq.gz	APCL_L0971.R1.fq.gz
APCL14_532_L0972	L0972	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756173	124.785643	718	2014-07-01	3.8	FL	WR	NA	MRS		RAD-Seq	L0972	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0972.F.fq.gz	APCL_L0972.R1.fq.gz
APCL13_611_L1006	L1006	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.870304	124.715302	335	2013-06-04	3.4	FL	WP	NA	MLP		RAD-Seq	L1006	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1006.F.fq.gz	APCL_L1006.R1.fq.gz
APCL13_663_L1008	L1008	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.861288	124.721601	371	2013-06-04	4	FL	W	NA	MLP		RAD-Seq	L1008	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1008.F.fq.gz	APCL_L1008.R1.fq.gz
APCL13_664_L1010	L1010	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.861284	124.721638	372	2013-06-04	3	FL	W	NA	MLP		RAD-Seq	L1010	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1010.F.fq.gz	APCL_L1010.R1.fq.gz
APCL14_510_L1011	L1011	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.76727	124.784808	705	2014-06-29	4.4	FL	WR	NA	MRS		RAD-Seq	L1011	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1011.F.fq.gz	APCL_L1011.R1.fq.gz
APCL14_497_L1012	L1012	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.809147	124.765319	697	2014-06-28	8.6	FL	O	adult	MRS		RAD-Seq	L1012	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1012.F.fq.gz	APCL_L1012.R1.fq.gz
APCL13_187_L1023	L1023	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.87405	124.711052	105	2013-05-27	10.1	FL	O	adult	MLP		RAD-Seq	L1023	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1023.F.fq.gz	APCL_L1023.R1.fq.gz
APCL13_207_L1024	L1024	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873354	124.712082	114	2013-05-27	8.7	FL	YP	adult	MLP		RAD-Seq	L1024	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1024.F.fq.gz	APCL_L1024.R1.fq.gz
APCL13_032_L1025	L1025	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764276	124.785345	18	2013-05-23	3.7	FL	YR	NA	MLP		RAD-Seq	L1025	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1025.F.fq.gz	APCL_L1025.R1.fq.gz
APCL13_033_L1026	L1026	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764209	124.785343	19	2013-05-23	4.2	FL	W	NA	MLP		RAD-Seq	L1026	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1026.F.fq.gz	APCL_L1026.R1.fq.gz
APCL13_034_L1027	L1027	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764185	124.785353	20	2013-05-23	3.1	FL	YR	NA	MLP		RAD-Seq	L1027	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1027.F.fq.gz	APCL_L1027.R1.fq.gz
APCL13_035_L1028	L1028	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764185	124.785353	20	2013-05-23	4.8	FL	W	NA	MLP		RAD-Seq	L1028	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1028.F.fq.gz	APCL_L1028.R1.fq.gz
APCL13_036_L1029	L1029	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764199	124.785266	21	2013-05-23	2.9	FL	YR	NA	MLP		RAD-Seq	L1029	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1029.F.fq.gz	APCL_L1029.R1.fq.gz
APCL13_038_L1030	L1030	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764201	124.785289	22	2013-05-23	3.4	FL	W	NA	MLP		RAD-Seq	L1030	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1030.F.fq.gz	APCL_L1030.R1.fq.gz
APCL13_047_L1031	L1031	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756332	124.785815	28	2013-05-23	3.6	FL	bW	NA	MLP		RAD-Seq	L1031	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1031.F.fq.gz	APCL_L1031.R1.fq.gz
APCL13_048_L1032	L1032	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756284	124.785799	29	2013-05-23	4	FL	W	NA	MLP		RAD-Seq	L1032	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1032.F.fq.gz	APCL_L1032.R1.fq.gz
APCL13_050_L1033	L1033	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756221	124.785645	31	2013-05-23	9.1	FL	O	adult	MLP		RAD-Seq	L1033	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1033.F.fq.gz	APCL_L1033.R1.fq.gz
APCL13_051_L1034	L1034	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756221	124.785645	31	2013-05-23	4.6	FL	YR	NA	MLP		RAD-Seq	L1034	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1034.F.fq.gz	APCL_L1034.R1.fq.gz
APCL13_052_L1035	L1035	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.756221	124.785645	31	2013-05-23	3.9	FL	YR	NA	MLP		RAD-Seq	L1035	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1035.F.fq.gz	APCL_L1035.R1.fq.gz
APCL13_053_L1036	L1036	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.755643	124.785439	32	2013-05-23	2.6	FL	W	NA	MLP		RAD-Seq	L1036	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1036.F.fq.gz	APCL_L1036.R1.fq.gz
APCL13_054_L1037	L1037	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.755157	124.785235	33	2013-05-23	3.2	FL	YR	NA	MLP		RAD-Seq	L1037	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1037.F.fq.gz	APCL_L1037.R1.fq.gz
APCL13_055_L1038	L1038	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.755157	124.785235	33	2013-05-23	6.5	FL	YP	adult	MLP		RAD-Seq	L1038	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1038.F.fq.gz	APCL_L1038.R1.fq.gz
APCL13_056_L1039	L1039	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.75509	124.785124	34	2013-05-23	3	FL	YR	NA	MLP		RAD-Seq	L1039	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1039.F.fq.gz	APCL_L1039.R1.fq.gz
APCL13_057_L1040	L1040	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.754999	124.785127	35	2013-05-23	3.2	FL	YR	NA	MLP		RAD-Seq	L1040	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1040.F.fq.gz	APCL_L1040.R1.fq.gz
APCL13_058_L1041	L1041	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.754999	124.785127	35	2013-05-23	6.7	FL	YR	NA	MLP		RAD-Seq	L1041	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1041.F.fq.gz	APCL_L1041.R1.fq.gz
APCL13_059_L1042	L1042	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.754999	124.785127	35	2013-05-23	8	FL	YP	adult	MLP		RAD-Seq	L1042	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1042.F.fq.gz	APCL_L1042.R1.fq.gz
APCL13_061_L1043	L1043	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.754371	124.784886	36	2013-05-23	4.1	FL	W	NA	MLP		RAD-Seq	L1043	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1043.F.fq.gz	APCL_L1043.R1.fq.gz
APCL13_062_L1044	L1044	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.768407	124.784069	37	2013-05-24	5.1	FL	YR	NA	MLP		RAD-Seq	L1044	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1044.F.fq.gz	APCL_L1044.R1.fq.gz
APCL13_063_L1045	L1045	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.768407	124.784069	37	2013-05-24	10.5	FL	O	adult	MLP		RAD-Seq	L1045	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1045.F.fq.gz	APCL_L1045.R1.fq.gz
APCL13_064_L1046	L1046	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.768469	124.784025	38	2013-05-24	3.8	FL	YR	NA	MLP		RAD-Seq	L1046	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1046.F.fq.gz	APCL_L1046.R1.fq.gz
APCL13_065_L1047	L1047	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.768581	124.783945	39	2013-05-24	6.6	FL	YR	NA	MLP		RAD-Seq	L1047	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1047.F.fq.gz	APCL_L1047.R1.fq.gz
APCL13_209_L1048	L1048	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873211	124.712084	115	2013-05-27	8.3	FL	O	adult	MLP	209 may have been sampled already	RAD-Seq	L1048	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1048.F.fq.gz	APCL_L1048.R1.fq.gz
APCL13_067_L1049	L1049	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.768598	124.783906	40	2013-05-24	4.6	FL	YR	NA	MLP		RAD-Seq	L1049	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1049.F.fq.gz	APCL_L1049.R1.fq.gz
APCL13_068_L1050	L1050	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.768598	124.783906	40	2013-05-24	3.5	FL	YR	NA	MLP		RAD-Seq	L1050	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1050.F.fq.gz	APCL_L1050.R1.fq.gz
APCL13_070_L1051	L1051	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.768469	124.784025	38	2013-05-24	9.3	FL	O	adult	MLP		RAD-Seq	L1051	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L1051.F.fq.gz	APCL_L1051.R1.fq.gz
